,Instant,Date,Season,Month,Hour,Holiday?,Day of Week,Workday?,Weather Situation,Temperature,Feeling Temperature,Casual Users,Registered User,Total Users,Casual_Ratio,Average_temperature,Wind Speed
0,1,2011-01-01,Winter,January,0,False,Saturday,False,Sunny,9.84,14.395,3,13,16,0.1875,0.26395,0.0
1,2,2011-01-01,Winter,January,1,False,Saturday,False,Sunny,9.02,13.635,8,32,40,0.2,0.24635,0.0
2,3,2011-01-01,Winter,January,2,False,Saturday,False,Sunny,9.02,13.635,5,27,32,0.15625,0.24635,0.0
3,4,2011-01-01,Winter,January,3,False,Saturday,False,Sunny,9.84,14.395,3,10,13,0.23076923076923078,0.26395,0.0
4,5,2011-01-01,Winter,January,4,False,Saturday,False,Sunny,9.84,14.395,0,1,1,0.0,0.26395,0.0
5,6,2011-01-01,Winter,January,5,False,Saturday,False,Cloudy,9.84,12.879999999999999,0,1,1,0.0,0.2488,6.0032
6,7,2011-01-01,Winter,January,6,False,Saturday,False,Sunny,9.02,13.635,2,0,2,1.0,0.24635,0.0
7,8,2011-01-01,Winter,January,7,False,Saturday,False,Sunny,8.200000000000001,12.879999999999999,1,2,3,0.3333333333333333,0.2288,0.0
8,9,2011-01-01,Winter,January,8,False,Saturday,False,Sunny,9.84,14.395,1,7,8,0.125,0.26395,0.0
9,10,2011-01-01,Winter,January,9,False,Saturday,False,Sunny,13.120000000000001,17.424999999999997,8,6,14,0.5714285714285714,0.33425,0.0
10,11,2011-01-01,Winter,January,10,False,Saturday,False,Sunny,15.58,19.695,12,24,36,0.3333333333333333,0.38695,16.997899999999998
11,12,2011-01-01,Winter,January,11,False,Saturday,False,Sunny,14.76,16.665,26,30,56,0.4642857142857143,0.34665,19.0012
12,13,2011-01-01,Winter,January,12,False,Saturday,False,Sunny,17.22,21.21,29,55,84,0.34523809523809523,0.42210000000000003,19.0012
13,14,2011-01-01,Winter,January,13,False,Saturday,False,Cloudy,18.86,22.725,47,47,94,0.5,0.45725000000000005,19.999499999999998
14,15,2011-01-01,Winter,January,14,False,Saturday,False,Cloudy,18.86,22.725,35,71,106,0.330188679245283,0.45725000000000005,19.0012
15,16,2011-01-01,Winter,January,15,False,Saturday,False,Cloudy,18.04,21.97,40,70,110,0.36363636363636365,0.4397,19.999499999999998
16,17,2011-01-01,Winter,January,16,False,Saturday,False,Cloudy,17.22,21.21,41,52,93,0.44086021505376344,0.42210000000000003,19.999499999999998
17,18,2011-01-01,Winter,January,17,False,Saturday,False,Cloudy,18.04,21.97,15,52,67,0.22388059701492538,0.4397,19.0012
18,19,2011-01-01,Winter,January,18,False,Saturday,False,Light Precipitation,17.22,21.21,9,26,35,0.2571428571428571,0.42210000000000003,16.997899999999998
19,20,2011-01-01,Winter,January,19,False,Saturday,False,Light Precipitation,17.22,21.21,6,31,37,0.16216216216216217,0.42210000000000003,16.997899999999998
20,21,2011-01-01,Winter,January,20,False,Saturday,False,Cloudy,16.400000000000002,20.455000000000002,11,25,36,0.3055555555555556,0.40455,16.997899999999998
21,22,2011-01-01,Winter,January,21,False,Saturday,False,Cloudy,16.400000000000002,20.455000000000002,3,31,34,0.08823529411764706,0.40455,12.998
22,23,2011-01-01,Winter,January,22,False,Saturday,False,Cloudy,16.400000000000002,20.455000000000002,11,17,28,0.39285714285714285,0.40455,15.001299999999999
23,24,2011-01-01,Winter,January,23,False,Saturday,False,Cloudy,18.86,22.725,15,24,39,0.38461538461538464,0.45725000000000005,19.999499999999998
24,25,2011-01-02,Winter,January,0,False,Sunday,False,Cloudy,18.86,22.725,4,13,17,0.23529411764705882,0.45725000000000005,19.999499999999998
25,26,2011-01-02,Winter,January,1,False,Sunday,False,Cloudy,18.04,21.97,1,16,17,0.058823529411764705,0.4397,16.997899999999998
26,27,2011-01-02,Winter,January,2,False,Sunday,False,Cloudy,17.22,21.21,1,8,9,0.1111111111111111,0.42210000000000003,19.0012
27,28,2011-01-02,Winter,January,3,False,Sunday,False,Cloudy,18.86,22.725,2,4,6,0.3333333333333333,0.45725000000000005,12.998
28,29,2011-01-02,Winter,January,4,False,Sunday,False,Cloudy,18.86,22.725,2,1,3,0.6666666666666666,0.45725000000000005,12.998
29,30,2011-01-02,Winter,January,6,False,Sunday,False,Light Precipitation,17.22,21.21,0,2,2,0.0,0.42210000000000003,19.999499999999998
30,31,2011-01-02,Winter,January,7,False,Sunday,False,Cloudy,16.400000000000002,20.455000000000002,0,1,1,0.0,0.40455,12.998
31,32,2011-01-02,Winter,January,8,False,Sunday,False,Light Precipitation,16.400000000000002,20.455000000000002,0,8,8,0.0,0.40455,15.001299999999999
32,33,2011-01-02,Winter,January,9,False,Sunday,False,Cloudy,15.58,19.695,1,19,20,0.05,0.38695,15.001299999999999
33,34,2011-01-02,Winter,January,10,False,Sunday,False,Cloudy,14.76,17.424999999999997,7,46,53,0.1320754716981132,0.35424999999999995,15.001299999999999
34,35,2011-01-02,Winter,January,11,False,Sunday,False,Cloudy,14.76,16.665,16,54,70,0.22857142857142856,0.34665,16.997899999999998
35,36,2011-01-02,Winter,January,12,False,Sunday,False,Cloudy,14.76,16.665,20,73,93,0.21505376344086022,0.34665,19.999499999999998
36,37,2011-01-02,Winter,January,13,False,Sunday,False,Cloudy,14.76,17.424999999999997,11,64,75,0.14666666666666667,0.35424999999999995,8.9981
37,38,2011-01-02,Winter,January,14,False,Sunday,False,Light Precipitation,14.76,17.424999999999997,4,55,59,0.06779661016949153,0.35424999999999995,12.998
38,39,2011-01-02,Winter,January,15,False,Sunday,False,Light Precipitation,13.940000000000001,16.665,19,55,74,0.25675675675675674,0.33665,11.0014
39,40,2011-01-02,Winter,January,16,False,Sunday,False,Light Precipitation,13.940000000000001,16.665,9,67,76,0.11842105263157894,0.33665,11.0014
40,41,2011-01-02,Winter,January,17,False,Sunday,False,Sunny,13.940000000000001,16.665,7,58,65,0.1076923076923077,0.33665,12.998
41,42,2011-01-02,Winter,January,18,False,Sunday,False,Cloudy,14.76,16.665,10,43,53,0.18867924528301888,0.34665,22.0028
42,43,2011-01-02,Winter,January,19,False,Sunday,False,Sunny,13.120000000000001,14.395,1,29,30,0.03333333333333333,0.30395,30.002599999999997
43,44,2011-01-02,Winter,January,20,False,Sunday,False,Sunny,12.299999999999999,13.635,5,17,22,0.22727272727272727,0.28635,23.9994
44,45,2011-01-02,Winter,January,21,False,Sunday,False,Sunny,10.66,11.365,11,20,31,0.3548387096774194,0.24365,22.0028
45,46,2011-01-02,Winter,January,22,False,Sunday,False,Sunny,9.84,10.605,0,9,9,0.0,0.22605,19.999499999999998
46,47,2011-01-02,Winter,January,23,False,Sunday,False,Sunny,9.02,11.365,0,8,8,0.0,0.22365000000000002,11.0014
47,48,2011-01-03,Winter,January,0,False,Monday,True,Sunny,9.02,9.85,0,5,5,0.0,0.2085,23.9994
48,49,2011-01-03,Winter,January,1,False,Monday,True,Sunny,8.200000000000001,8.334999999999999,0,2,2,0.0,0.18335,27.999299999999998
49,50,2011-01-03,Winter,January,4,False,Monday,True,Sunny,6.5600000000000005,6.819999999999999,0,1,1,0.0,0.1482,26.0027
50,51,2011-01-03,Winter,January,5,False,Monday,True,Sunny,6.5600000000000005,6.819999999999999,0,3,3,0.0,0.1482,19.0012
51,52,2011-01-03,Winter,January,6,False,Monday,True,Sunny,5.74,5.305,0,30,30,0.0,0.12305,26.0027
52,53,2011-01-03,Winter,January,7,False,Monday,True,Sunny,5.74,6.819999999999999,1,63,64,0.015625,0.1382,12.998
53,54,2011-01-03,Winter,January,8,False,Monday,True,Sunny,5.74,6.0600000000000005,1,153,154,0.006493506493506494,0.1306,19.0012
54,55,2011-01-03,Winter,January,9,False,Monday,True,Sunny,6.5600000000000005,6.819999999999999,7,81,88,0.07954545454545454,0.1482,26.0027
55,56,2011-01-03,Winter,January,10,False,Monday,True,Sunny,7.38,8.334999999999999,11,33,44,0.25,0.17335,16.997899999999998
56,57,2011-01-03,Winter,January,11,False,Monday,True,Sunny,8.200000000000001,9.09,10,41,51,0.19607843137254902,0.19090000000000001,22.0028
57,58,2011-01-03,Winter,January,12,False,Monday,True,Sunny,9.02,10.605,13,48,61,0.21311475409836064,0.21605000000000002,19.999499999999998
58,59,2011-01-03,Winter,January,13,False,Monday,True,Sunny,9.84,10.605,8,53,61,0.13114754098360656,0.22605,19.0012
59,60,2011-01-03,Winter,January,14,False,Monday,True,Sunny,10.66,12.120000000000001,11,66,77,0.14285714285714285,0.2512,19.0012
60,61,2011-01-03,Winter,January,15,False,Monday,True,Sunny,10.66,12.120000000000001,14,58,72,0.19444444444444445,0.2512,16.997899999999998
61,62,2011-01-03,Winter,January,16,False,Monday,True,Sunny,10.66,12.120000000000001,9,67,76,0.11842105263157894,0.2512,16.997899999999998
62,63,2011-01-03,Winter,January,17,False,Monday,True,Sunny,9.84,11.365,11,146,157,0.07006369426751592,0.23365,15.001299999999999
63,64,2011-01-03,Winter,January,18,False,Monday,True,Sunny,9.84,12.879999999999999,9,148,157,0.05732484076433121,0.2488,7.0015
64,65,2011-01-03,Winter,January,19,False,Monday,True,Sunny,8.200000000000001,12.879999999999999,8,102,110,0.07272727272727272,0.2288,0.0
65,66,2011-01-03,Winter,January,20,False,Monday,True,Sunny,8.200000000000001,11.365,3,49,52,0.057692307692307696,0.21365,7.0015
66,67,2011-01-03,Winter,January,21,False,Monday,True,Sunny,7.38,9.85,3,49,52,0.057692307692307696,0.1885,8.9981
67,68,2011-01-03,Winter,January,22,False,Monday,True,Sunny,5.74,7.575,0,20,20,0.0,0.14575,8.9981
68,69,2011-01-03,Winter,January,23,False,Monday,True,Sunny,7.38,10.605,1,11,12,0.08333333333333333,0.19605,7.0015
69,70,2011-01-04,Winter,January,0,False,Tuesday,True,Sunny,6.5600000000000005,9.09,0,5,5,0.0,0.1709,7.0015
70,71,2011-01-04,Winter,January,1,False,Tuesday,True,Sunny,6.5600000000000005,9.09,0,2,2,0.0,0.1709,7.0015
71,72,2011-01-04,Winter,January,2,False,Tuesday,True,Sunny,5.74,7.575,0,1,1,0.0,0.14575,8.9981
72,73,2011-01-04,Winter,January,4,False,Tuesday,True,Sunny,5.74,9.09,0,2,2,0.0,0.1609,6.0032
73,74,2011-01-04,Winter,January,5,False,Tuesday,True,Sunny,4.92,7.575,0,4,4,0.0,0.13574999999999998,7.0015
74,75,2011-01-04,Winter,January,6,False,Tuesday,True,Sunny,4.92,7.575,0,36,36,0.0,0.13574999999999998,7.0015
75,76,2011-01-04,Winter,January,7,False,Tuesday,True,Sunny,4.92,7.575,2,92,94,0.02127659574468085,0.13574999999999998,8.9981
76,77,2011-01-04,Winter,January,8,False,Tuesday,True,Sunny,5.74,7.575,2,177,179,0.0111731843575419,0.14575,11.0014
